Source_id,Title,Creator_id,Audio_url,Format,Image_url,语言,Tag,Location,Create_at,
mvp0001,500强公司做新业务容易死,小李吃天下,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0001-雷军说500强公司做新业务容易死.mp3,mp3,https://shortaudio.oss-cn-chengdu.aliyuncs.com/图片/mvp0001-500强公司做新业务容易死.jpeg,中文,对话(Conversational)+商业与财经(Business & Finance),"Greenville, SC",2024-09-02T21:48:00,
mvp0002,HPV脱口秀,阿峰爱钓鱼,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0001-雷军说500强公司做新业务容易死.mp3,mp3,https://shortaudio.oss-cn-chengdu.aliyuncs.com/图片/mvp0002-HPV脱口秀.jpeg,中文,幽默(Humorous)+生活方式和娱乐(Lifestyle and Entertainment),"Greenville, SC",2024-09-02T21:48:00,
mvp0003,VC行业黑话,鱼游四方,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0003-VC行业黑话.MP3,mp3,https://shortaudio.oss-cn-chengdu.aliyuncs.com/图片/mvp0003-VC行业黑话.jpeg,中文,对话(Conversational)+商业与财经(Business & Finance),"Greenville, SC",2024-09-02T21:48:00,
mvp0004,三个悬疑小故事,静静碎语,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0004-三个悬疑小故事.mp3,mp3,,中文,叙事(Narrative)+文化与艺术(Culture & Arts),"Greenville, SC",2024-09-02T21:48:00,
mvp0005,世界草台班子辩论赛,阳光下的杰哥,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0005-世界草台班子辩论赛.mp3,mp3,https://shortaudio.oss-cn-chengdu.aliyuncs.com/图片/mvp0005-世界草台班子辩论赛.jpeg,中文,教授(Educational)+个人发展(Personal Development),"Greenville, SC",2024-09-02T21:48:00,
mvp0006,两个人工智能聊天,厨房有点甜,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0006-两个人工智能聊天.MP3,mp3,https://shortaudio.oss-cn-chengdu.aliyuncs.com/图片/mvp0006-两个人工智能聊天.jpeg,中文,情景模拟(ScenarioSimulation)+科技(Technology),"Greenville, SC",2024-09-02T21:48:00,
mvp0007,你不是学的慢，你是逻辑建构者,张叔的老味道,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0007-你不是学的慢，你是逻辑建构者.mp3,mp3,,中文,教授(Educational)+个人发展(Personal Development),"Greenville, SC",2024-09-02T21:48:00,
mvp0008,人怎么能真诚成这样,刘小游漫记,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0008-人怎么能真诚成这样.mp3,mp3,https://shortaudio.oss-cn-chengdu.aliyuncs.com/图片/mvp0008-人怎么能真诚成这样.jpeg,中文,幽默(Humorous)+两性(Sexual Relation),"Greenville, SC",2024-09-02T21:48:00,
mvp0009,亿万富翁的遗言,阿辉说事,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0009-亿万富翁的遗言.MP3,mp3,https://shortaudio.oss-cn-chengdu.aliyuncs.com/图片/mvp0009-亿万富翁的遗言.jpeg,中文,教授(Educational)+健康与保健(Health & Fitness),"Greenville, SC",2024-09-02T21:48:00,
mvp0010,什么是情绪稳定,晨晨拍拍拍,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0010-什么是情绪稳定.mp3,mp3,https://shortaudio.oss-cn-chengdu.aliyuncs.com/图片/mvp0010-什么是情绪稳定.jpeg,中文,情景模拟(ScenarioSimulation)+健康与保健(Health & Fitness),"Greenville, SC",2024-09-02T21:48:00,
mvp0011,吴世春脱口秀,火辣小芳,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0011-吴世春脱口秀.mp3,mp3,,中文,幽默(Humorous)+商业与财经(Business & Finance),"Greenville, SC",2024-09-02T21:48:00,
mvp0012,吵架必赢法则,老龙随手记,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0012-吵架必赢法则.mp3,mp3,https://shortaudio.oss-cn-chengdu.aliyuncs.com/图片/mvp0012-吵架必赢法则.jpeg,中文,对话(Conversational)+生活经验(Living Experience),"Greenville, SC",2024-09-02T21:48:00,
mvp0013,周杰伦被低估的专辑,阿豪慢生活,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0013-周杰伦被低估的专辑.mp3,mp3,,中文,音乐(Musical)+文化与艺术(Culture & Arts),"Greenville, SC",2024-09-02T21:48:00,
mvp0014,土家族脱口秀,天天煮煮煮,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0014-土家族脱口秀.mp3,mp3,,中文,幽默(Humorous)+生活方式和娱乐(Lifestyle and Entertainment),"Greenville, SC",2024-09-02T21:48:00,
mvp0015,大富大贵的征兆,王哥侃故事,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0015-大富大贵的征兆.mp3,mp3,,中文,教授(Educational)+个人发展(Personal Development),"Greenville, SC",2024-09-02T21:48:00,
mvp0016,姐姐催婚,霞妹儿闲谈,https://shortaudio.oss-cn-chengdu.aliyuncs.com/音频/mvp0016-姐姐催婚.mp3,mp3,,中文,对话(Conversational)+生活方式和娱乐(Lifestyle and Entertainment),"Greenville, SC",2024-09-02T21:48:00,
